si;presente;bajo;si
no;ausente;bajo;si
no;presente;alto;si
no;ausente;alto;no
no;ausente;normal;no
si;ausente;alto;no
no;ausente;alto;si
no;presente;normal;si
si;ausente;normal;no
no;presente;alto;si
no;presente;bajo;si
si;presente;alto;no
no;ausente;normal;no
si;presente;alto;si
si;ausente;alto;no
no;presente;alto;no
no;ausente;alto;no
no;ausente;alto;si
si;ausente;alto;no
no;presente;alto;no
no;presente;normal;si
si;ausente;normal;no
no;presente;alto;no
si;ausente;bajo;no
no;presente;alto;si
si;ausente;bajo;si
si;ausente;normal;no
no;presente;bajo;si
si;presente;alto;no
